"sample_id","tube_id","donor_site_id","recipient_site_id","sample_type","sampling_timepoint","source_material","collection_date","collection_time","collector","sample_mass_g","sample_volume_mL","dna_extraction_id","extraction_date","extraction_batch","dna_concentration_ng_uL","storage_location","storage_temperature_C","sequencing_status","protocol_deviation","notes"
"T0050_FIN","T0050","VA_D01","NH_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0051_DON","T0051","VA_D01","NH_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0051_RES","T0051","VA_D01","NH_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0051_FIN","T0051","VA_D01","NH_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0052_DON","T0052","VA_D01","NH_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0052_RES","T0052","VA_D01","NH_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0052_FIN","T0052","VA_D01","NH_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0053_DON","T0053","VA_D01","NH_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0053_RES","T0053","VA_D01","NH_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0053_FIN","T0053","VA_D01","NH_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0054_DON","T0054","VA_D01","NH_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
